id	maj_label1	labels1	maj_label2	labels2	maj_label3	labels3
1427285774597115904	NOT ABUSIVE	0; 0; 4				
1403656687714713600	NOT ABUSIVE	0; 0; 2				
1336309835072229376	NOT ABUSIVE	0; 0; 4				
1343269638550024198	NOT ABUSIVE	0; 0; 4				
1383209088050421765	NOT ABUSIVE	0; 0; 4				
1425425018821959682	NOT ABUSIVE	0; 0; 4				
1386050712564551682	NOT ABUSIVE	0; 0; 4				
1380481063827484672	NOT ABUSIVE	0; 0; 0; 0; 0				
1403734441999028227	NOT ABUSIVE	0; 0; 0; 4; 0				
1379120030496010250	NOT ABUSIVE	0; 0; 0; 0; 0				
1335671629238726656	NOT ABUSIVE	0; 0; 0; 0; 0				
1337399417255575552	NOT ABUSIVE	0; 0; 0; 3; 0				
1382381643852357633	NOT ABUSIVE	0; 0; 0; 0; 0				
1426159885880905736	NOT ABUSIVE	0; 0; 0; 0; 0				
1340689317375709189	NOT ABUSIVE	0; 0; 0; 0; 0				
1356278739211087877	GROUP	4; 0; 0; 4; 4	ANTI-CHRISTIANITY	4; 4; 4; 1; 4	DEROGATION AND DEHUMANIZATION	2; 3; 2; 2; 3
1387555588561948672	NOT ABUSIVE	0; 0; 0; 0				
1423603659527663616	NOT ABUSIVE	2; 0; 0; 0				
1341282023294558208	NOT ABUSIVE	0; 0; 4; 0				
1335488791721684994	GROUP	4; 4; 4; 0	ANTI-ISLAM	5; 5; 5; 5; 2	ANIMOSITY	3; 2; 3; 2; 3
1365845338335027201	NOT ABUSIVE	0; 0; 0; 0				
1337637080722067456	NOT ABUSIVE	0; 0; 0; 0				
1378683641665048579	NOT ABUSIVE	0; 0; 0; 0				
1427817643562594306	NOT ABUSIVE	2; 0; 4; 0				
1342302351613251584	NOT ABUSIVE	0; 0; 4; 0				
1338964580832309249	NOT ABUSIVE	0; 0; 4; 0				
1338883463202578433	NOT ABUSIVE	0; 0; 4; 0				
1432074423004241930	NOT ABUSIVE	0; 0; 4; 0				
1336490377147199488	NOT ABUSIVE	0; 0; 4; 0				
1406936984363413509	NOT ABUSIVE	0; 0; 4; 0				
1343652028141232128	NOT ABUSIVE	0; 0; 4; 0				
1387493832229629957	NOT ABUSIVE	0; 0; 4; 0				
1431586075584073733	NOT ABUSIVE	0; 0; 4; 0				
1333775117625671681	NOT ABUSIVE	0; 0; 0; 2; 0				
1406244726542508034	INDIVIDUAL	3; 3; 0; 4; 0				
1334913878342430722	NOT ABUSIVE	0; 0; 0; 2; 0				
1339353323086860288	NOT ABUSIVE	0; 0; 0; 2; 0				
1429798139150622728	NOT ABUSIVE	4; 0; 0; 3; 0				
1340954309530292227	NOT ABUSIVE	0; 0; 0; 4; 0				
1335652107689594880	NOT ABUSIVE	4; 0; 0; 2; 0				
1335254174829862912	GROUP	4; 0; 1; 4; 0	ANTI-CHRISTIANITY	4; 4; 4; 0; 4	DEROGATION AND DEHUMANIZATION	3; 2; 2; 3; 2
1343619721644503041	GROUP	4; 0; 1; 4; 0	ANTI-ISLAM	5; 5; 5; 5; 0	ANIMOSITY	2; 3; 3; 3; 3
1336527601872015361	NOT ABUSIVE	0; 0; 0; 0				
1362303893858889728	NOT ABUSIVE	0; 0; 0; 0				
1404453459978383362	NOT ABUSIVE	0; 0; 0; 4				
1341386595950350336	NOT ABUSIVE	0; 0; 4; 0				
1428380818917838853	NOT ABUSIVE	0; 0; 4; 0				
1427325595113775105	NOT ABUSIVE	0; 0; 0; 3				
1383840733086453761	NOT ABUSIVE	0; 0; 0; 3				
1340702729736470529	NOT ABUSIVE	0; 0; 0; 0				
1377642108228661262	NOT ABUSIVE	0; 0; 0; 0				
1402708678281662465	NOT ABUSIVE	0; 0; 0; 0				
1340576224490483712	NOT ABUSIVE	0; 0; 0; 0				
1380197222252351488	NOT ABUSIVE	0; 0; 0; 0				
1344234712185753600	GROUP	4; 0; 4; 4	ANTI-ISLAM	5; 5; 5; 5; 5	ANIMOSITY	3; 3; 3; 2; 3
1342212253957955584	NOT ABUSIVE	0; 0; 4; 0				
1421883273035268104	NOT ABUSIVE	0; 0; 0; 0				
1340386325598494721	NOT ABUSIVE	0; 0; 0; 0				
1429831234272862213	NOT ABUSIVE	0; 0; 4; 0				
1406761238542139396	NOT ABUSIVE	0; 0; 0; 4				
1341354744317620224	NOT ABUSIVE	0; 0; 0; 1				
1403248109979721732	NOT ABUSIVE	0; 0; 0; 4				
1333631794290286593	NOT ABUSIVE	0; 0; 0; 4				
1378524957592850432	NOT ABUSIVE	0; 0; 0; 4				
1338108919131025408	NOT ABUSIVE	0; 0; 0; 1				
1386656992568258562	NOT ABUSIVE	0; 0; 0; 4				
1338208366720503808	NOT ABUSIVE	0; 0; 0; 4				
1386522432752611328	UNTARGETED	1; 3; 1; 0; 1				
1338578847709556738	NOT ABUSIVE	1; 0; 0; 0; 1				
1380713347633487872	NOT ABUSIVE	0; 0; 0; 0; 0				
1407518566820331520	NOT ABUSIVE	0; 0; 0; 0; 0				
1385070418520858627	NOT ABUSIVE	0; 0; 0; 0; 0				
1383057220632387593	UNTARGETED	1; 4; 2; 0; 1				
1333613291290157061	NOT ABUSIVE	0; 0; 0; 0; 0				
1334933494615560192	NOT ABUSIVE	0; 3; 4; 1; 0				
1379042159672852485	NOT ABUSIVE	0; 0; 4; 0; 0				
1338300610152722433	NOT ABUSIVE	0; 4; 0; 4; 0				
1344181393748848640	NOT ABUSIVE	3; 3; 0; 0; 0				
1378040102056828935	NOT ABUSIVE	0; 2; 0; 0; 0				
1404569514725953540	NOT ABUSIVE	0; 2; 0; 0; 0				
1356077166644121604	NOT ABUSIVE	0; 3; 0; 0; 0				
1409587557810073606	NOT ABUSIVE	0; 2; 0; 0; 0				
1382205571399524361	NOT ABUSIVE	0; 2; 0; 0; 0				
1426863333421068289	NOT ABUSIVE	0; 4; 0; 0; 0				
1343355007849132033	NOT ABUSIVE	0; 4; 0; 0; 0				
1399763053609197574	NOT ABUSIVE	0; 0; 0				
1385333586409267201	NOT ABUSIVE	0; 0; 0				
1343848370213974016	NOT ABUSIVE	0; 0; 0				
1379137382704816130	NOT ABUSIVE	0; 0; 0				
1333832690555101186	NOT ABUSIVE	0; 0; 0				
1399629117218123778	NOT ABUSIVE	0; 0; 0				
1399776768953831425	NOT ABUSIVE	0; 0; 0				
1378890206808522754	NOT ABUSIVE	0; 0; 0				
1385553383986274305	NOT ABUSIVE	0; 0; 0				
1360912124478906370	GROUP	4; 4; 4; 0; 4	ANTI-JUDAISM	6; 0; 6; 6; 6	ABUSIVE HUMOR; DEROGATION AND DEHUMANIZATION	0; 2; 0; 3; 2
1379091398889254912	NOT ABUSIVE	0; 0; 4; 0; 4				
1341972559324184578	NOT ABUSIVE	0; 0; 0; 0; 4				
1424232587493625856	NOT ABUSIVE	0; 0; 0; 0; 4				
1333617999220269067	GROUP	4; 1; 4; 4; 4	ANTI-ISLAM	5; 5; 5; 5; 5	DEROGATION AND DEHUMANIZATION	2; 2; 3; 2
1333969877623656448	UNTARGETED	1; 1; 0; 1; 4				
1334419062177325056	NOT ABUSIVE	0; 0; 0; 1; 4				
1386805796315480066	GROUP	0; 0; 4; 1; 4	ANTI-ISLAM	5; 5; 5; 5; 5	ANIMOSITY	3; 3; 2; 3; 3
1357647998449238016	NOT ABUSIVE	0; 0; 0; 0; 4				
1422006385085239300	NOT ABUSIVE	0; 0; 0; 0				
1342678615037636608	NOT ABUSIVE	0; 0; 0; 0				
1383560608377827338	NOT ABUSIVE	0; 0; 0; 0				
1341696122432217088	NOT ABUSIVE	0; 0; 0; 0				
1381263638057480199	NOT ABUSIVE	0; 0; 0; 0				
1342119351479111680	NOT ABUSIVE	0; 0; 0; 0				
1337527589901115393	NOT ABUSIVE	0; 0; 0; 0				
1430156495203745801	NOT ABUSIVE	0; 0; 0; 0				
1336371991885066240	NOT ABUSIVE	0; 0; 0; 0				
1424724060752257025	NOT ABUSIVE	2; 0; 4; 0				
1424008648641052676	NOT ABUSIVE	1; 0; 0; 0				
1357074047809458176	NOT ABUSIVE	3; 0; 2; 0				
1338908687272996867	NOT ABUSIVE	4; 0; 0; 0				
1343741073961598976	NOT ABUSIVE	4; 0; 0; 0				
1385678434785906690	NOT ABUSIVE	0; 0; 0				
1334480611445182465	NOT ABUSIVE	0; 0; 0				
1339566465859534848	NOT ABUSIVE	4; 0; 0				
1340161536850092032	NOT ABUSIVE	0; 0; 0				
1432419784021454852	INDIVIDUAL	3; 3; 0				
1338179575252180993	INDIVIDUAL	3; 3; 0				
1383780211309760519	NOT ABUSIVE	0; 0; 0				
1338242538709413888	NOT ABUSIVE	0; 0; 0				
1378499951370588165	NOT ABUSIVE	0; 0; 0				
1337548707051474945	NOT ABUSIVE	0; 0; 4; 2				
1382327912976777222	NOT ABUSIVE	0; 0; 4; 2				
1403052878391021571	GROUP	4; 4; 4; 2	ANTI-ISLAM	1; 1; 5; 5; 5	DEROGATION AND DEHUMANIZATION	2; 2; 2
1388227517610225665	INDIVIDUAL	0; 4; 3; 3				
1344264963276251136	NOT ABUSIVE	0; 0; 4; 2				
1333731256140521472	GROUP	3; 4; 4; 4	ANTI-ISLAM	5; 5; 5; 5; 5	DEROGATION AND DEHUMANIZATION	2; 2; 2; 3; 2
1337465002501025794	NOT ABUSIVE	0; 0; 4; 2				
1342586513540968458	NOT ABUSIVE	0; 0; 0				
1387696411521781762	NOT ABUSIVE	0; 0; 0				
1338572011791061002	NOT ABUSIVE	0; 0; 0				
1342235059579998209	NOT ABUSIVE	0; 0; 0				
1432310539573628928	NOT ABUSIVE	0; 0; 0				
1334290473482027011	NOT ABUSIVE	0; 0; 0				
1378773901329588224	NOT ABUSIVE	0; 0; 0				
1363263579722551296	NOT ABUSIVE	0; 0; 0				
1340668253417451523	NOT ABUSIVE	0; 0; 0				
1380661084168843268	INDIVIDUAL	3; 3; 1				
1365384890917740548	NOT ABUSIVE	0; 0; 0				
1431025207645442050	NOT ABUSIVE	0; 0; 0				
1338801303368192000	NOT ABUSIVE	0; 0; 0				
1403087493084241920	NOT ABUSIVE	0; 0; 0				
1383189155732189185	NOT ABUSIVE	0; 4; 0				
1403987543318728709	NOT ABUSIVE	0; 4; 0				
1337349782604484608	NOT ABUSIVE	0; 0; 0				
1344664746612690944	NOT ABUSIVE	0; 0; 0				
1337471985434169347	GROUP	0; 4; 4	ANTI-CHRISTIANITY	4; 4; 4; 4; 4	ANIMOSITY	3; 2; 3; 3; 3
1426883505531723781	NOT ABUSIVE	0; 0; 4				
1382552604425682944	GROUP	0; 4; 4	ANTI-ISLAM	5; 5; 5; 5; 5	ANIMOSITY	3; 0; 3; 3; 2
1422699630937001985	NOT ABUSIVE	0; 0; 4				
1422094118931554305	GROUP	0; 4; 4	ANTI-JUDAISM	6; 6; 0; 6; 6	ANIMOSITY	3; 2; 3; 3; 3
1427408167449858048	NOT ABUSIVE	0; 0; 0; 1				
1425719574847266816	NOT ABUSIVE	0; 0; 0; 3				
1343074557939175426	NOT ABUSIVE	0; 0; 0; 4				
1337866845022523395	NOT ABUSIVE	0; 0; 0; 4				
1381083847035514882	NOT ABUSIVE	0; 4; 0; 1				
1335300828635205637	NOT ABUSIVE	0; 0; 0; 1				
1334267736420196354	NOT ABUSIVE	0; 0; 0; 4				
1385013086445350912	NOT ABUSIVE	0; 0; 0; 4				
1343264153243422720	NOT ABUSIVE	0; 0; 4				
1383715853166800907	NOT ABUSIVE	0; 0; 4				
1362392146486173696	NOT ABUSIVE	0; 4; 0				
1423420931309899776	NOT ABUSIVE	0; 0; 4				
1405939588544315392	NOT ABUSIVE	0; 0; 4				
1426477745069043714	GROUP	4; 1; 4	ANTI-JUDAISM	6; 6; 6; 6; 6	THREATENING LANGUAGE; DEROGATION AND DEHUMANIZATION	2; 1; 3; 1; 2
1403763780836864001	NOT ABUSIVE	0; 0; 4				
1336892207287025670	NOT ABUSIVE	0; 0; 4				
1377582184563937287	NOT ABUSIVE	0; 0; 0				
1337803898225000448	NOT ABUSIVE	0; 0; 0; 4				
1406341680349945857	NOT ABUSIVE	0; 0; 0; 4				
1337428348583067648	NOT ABUSIVE	0; 0; 0; 4				
1427038637129076745	INDIVIDUAL	3; 0; 3; 3				
1385090176632856581	NOT ABUSIVE	0; 0; 0; 0				
1379947410420420608	NOT ABUSIVE	0; 0; 0; 0				
1338266484728991744	NOT ABUSIVE	0; 0; 0; 0				
1339366088367288320	NOT ABUSIVE	0; 0; 0; 1				
1382339249794650117	NOT ABUSIVE	0; 0; 0; 2				
1342230520596467713	NOT ABUSIVE	4; 0; 0; 0				
1422311677727547397	NOT ABUSIVE	0; 0; 0; 0				
1405425765173190661	NOT ABUSIVE	1; 2; 0; 0				
1382772127988875265	NOT ABUSIVE	0; 0; 0; 4				
1427609588661211139	NOT ABUSIVE	0; 0; 0; 0				
1431301847197835266	NOT ABUSIVE	0; 0; 1; 0				
1429975741953884166	NOT ABUSIVE	0; 0; 0; 0				
1377565409294090240	NOT ABUSIVE	0; 0; 0; 0				
1380142531506278416	NOT ABUSIVE	0; 0; 0; 0				
1339589316872339460	NOT ABUSIVE	0; 0; 0; 0				
1342539151623774208	NOT ABUSIVE	0; 0; 0; 0				
1340676741963104256	NOT ABUSIVE	0; 0; 0; 4				
1424062906581151746	NOT ABUSIVE	0; 0; 0; 0				
1339237063590232064	NOT ABUSIVE	0; 0; 0; 0				
1342541760287764480	NOT ABUSIVE	0; 0; 0; 4				
1337661652427132929	NOT ABUSIVE	0; 0; 0; 4				
1428512242513989639	NOT ABUSIVE	0; 0; 0; 0				
1337035729176694784	GROUP	0; 4; 4; 4	ANTI-ISLAM	5; 5; 5; 5; 0	ANIMOSITY	1; 3; 3
1377553496753500165	NOT ABUSIVE	0; 0; 0; 0				
1380245177097408519	NOT ABUSIVE	0; 0; 0; 0				
1409844924053344264	NOT ABUSIVE	0; 0; 0; 0				
1403363576501346309	NOT ABUSIVE	0; 0; 0; 0				
1334361321471545344	GROUP	2; 4; 4; 4	ANTI-CHRISTIANITY	4; 4; 4; 4; 4	DEROGATION AND DEHUMANIZATION	1; 2; 2; 2; 2
1334655311823601664	NOT ABUSIVE	0; 0; 0; 0				
1423793072022990850	NOT ABUSIVE	0; 0; 0; 0				
1406189512754036744	NOT ABUSIVE	0; 0; 0; 0				
1335036151233712128	NOT ABUSIVE	0; 0; 0; 0				
1337496873838419968	NOT ABUSIVE	0; 0; 0; 0				
1377909098818113539	NOT ABUSIVE	0; 0; 0; 0				
1379356399184928769	NOT ABUSIVE	0; 0; 0; 0				
1335989433066278912	NOT ABUSIVE	0; 0; 0; 0				
1334910546211061760	NOT ABUSIVE	0; 0; 2				
1337979594784337924	NOT ABUSIVE	0; 0; 0				
1335228695032770561	NOT ABUSIVE	0; 0; 0				
1336917936687230978	NOT ABUSIVE	0; 0; 2				
1339186012543721474	NOT ABUSIVE	0; 0; 0				
1337621030429450240	NOT ABUSIVE	0; 0; 0				
1340313345400848389	NOT ABUSIVE	0; 0; 0				
1340328299378192388	NOT ABUSIVE	0; 1; 0				
1429598220313837571	NOT ABUSIVE	0; 1; 0				
1335348589753675777	GROUP	4; 4; 0	ANTI-ISLAM	5; 5; 5; 5; 5	ANIMOSITY	3; 3; 3; 3; 3
1356654125635805185	NOT ABUSIVE	1; 0; 0				
1339171896903012353	NOT ABUSIVE	0; 0; 0				
1402351273165217793	NOT ABUSIVE	4; 0; 0				
1360289752449130497	NOT ABUSIVE	4; 0; 0				
1337116285897850881	NOT ABUSIVE	4; 0; 0				
1429432414259097610	NOT ABUSIVE	0; 0; 0; 0				
1378443043989229568	NOT ABUSIVE	0; 0; 0; 0				
1381543734601519105	NOT ABUSIVE	4; 0; 0; 0				
1333815247476494340	NOT ABUSIVE	4; 0; 0; 0				
1387017180277993473	NOT ABUSIVE	0; 0; 0; 0				
1338850562020958215	NOT ABUSIVE	0; 0; 0; 0				
1387595090340859906	NOT ABUSIVE	0; 0; 0; 0				
1341855005154938885	NOT ABUSIVE	0; 0; 0; 0				
1337467435260104704	NOT ABUSIVE	0; 4; 0; 0				
1342708064345059328	NOT ABUSIVE	0; 4; 0; 0				
1430047489873391647	NOT ABUSIVE	0; 2; 0; 0				
1378637816440221700	NOT ABUSIVE	0; 4; 0; 0				
1342455489729331201	NOT ABUSIVE	0; 4; 0; 0				
1408686396064243715	GROUP	4; 4; 4; 0	ANTI-ISLAM	5; 1; 2; 5; 5	ANIMOSITY	2; 3; 3
1340354811099631624	NOT ABUSIVE	0; 4; 0; 0				
1387264411224612867	GROUP	3; 4; 4; 1	ANTI-ISLAM	5; 5; 5; 5; 5	DEROGATION AND DEHUMANIZATION	2; 2; 2; 2; 2
1405740897287905287	NOT ABUSIVE	0; 4; 0; 0				
1427259943950983171	NOT ABUSIVE	0; 0; 0				
1384989032791281667	NOT ABUSIVE	0; 0; 0				
1337518543282331655	NOT ABUSIVE	0; 0; 0				
1378522052777242624	NOT ABUSIVE	0; 0; 0				
1341188016195268608	NOT ABUSIVE	0; 0; 0				
1404131306863202313	NOT ABUSIVE	0; 0; 0				
1407082783994957830	NOT ABUSIVE	0; 0; 0				
1344628859166203905	INDIVIDUAL	3; 0; 3				
1334093680026677248	NOT ABUSIVE	0; 0; 0				
1422558526753357824	NOT ABUSIVE	0; 0; 0; 0; 0				
1422993462102687748	NOT ABUSIVE	0; 0; 0; 0; 0				
1335516234897649666	NOT ABUSIVE	0; 0; 0; 0; 0				
1334970963428069377	NOT ABUSIVE	0; 0; 0; 1; 4				
1427292710365548545	NOT ABUSIVE	0; 0; 0; 0; 0				
1409392737942749185	NOT ABUSIVE	0; 0; 0; 0; 0				
1337629789780209669	NOT ABUSIVE	2; 0; 0; 0; 0				
1402665329633996802	NOT ABUSIVE	0; 0; 0; 0; 0				
1427427216749645830	NOT ABUSIVE	0; 0; 0; 0; 0				
1335221045482188800	NOT ABUSIVE	0; 0; 0				
1339677657840148481	NOT ABUSIVE	0; 0; 0				
1408534722251309057	NOT ABUSIVE	0; 0; 1				
1425891968513630208	NOT ABUSIVE	0; 0; 0				
1334180957079937026	NOT ABUSIVE	0; 0; 4				
1340030907097427969	NOT ABUSIVE	0; 0; 3				
1342490542618390533	GROUP	4; 0; 4	ANTI-ISLAM	5; 5; 0; 5; 5	DEROGATION AND DEHUMANIZATION; ANIMOSITY	3; 1; 2; 3; 2
1343192623452999682	NOT ABUSIVE	0; 0; 4				
1344323115657125891	NOT ABUSIVE	0; 0; 0; 0; 0				
1340018368892596225	NOT ABUSIVE	0; 0; 0; 0; 0				
1359466971729911808	NOT ABUSIVE	0; 0; 0; 0; 0				
1401271007374155780	GROUP	4; 2; 4; 0; 0	ANTI-ISLAM	5; 5; 5; 5; 5	ANIMOSITY	3; 3; 2; 3; 3
1336281369312260099	NOT ABUSIVE	4; 3; 0; 0; 0				
1431387281890451457	NOT ABUSIVE	4; 3; 0; 0; 0				
1427352554766311433	NOT ABUSIVE	0; 1; 0; 0; 0				
1401529064733687808	NOT ABUSIVE	0; 0; 0; 0; 0				
1405493341542780930	GROUP	4; 4; 0; 0; 4	ANTI-JUDAISM	6; 6; 0; 6; 6	ANIMOSITY	2; 0; 3; 3
1341678284417998849	NOT ABUSIVE	0; 0; 0; 0; 0				
1400287887736770570	NOT ABUSIVE	0; 0; 0; 0; 0				
1378639342315347968	NOT ABUSIVE	0; 0; 0; 0; 0				
1401467939119788033	NOT ABUSIVE	0; 0; 0; 0; 0				
1344355345712488448	NOT ABUSIVE	0; 0; 0; 0; 0				
1344651589806661638	NOT ABUSIVE	0; 0; 0; 0; 0				
1340654991732719617	NOT ABUSIVE	0; 0; 0; 0; 0				
1343639344087752704	NOT ABUSIVE	0; 0; 2; 0; 0				
1402244486516854784	NOT ABUSIVE	0; 0; 4; 0; 1				
1386704247094341634	GROUP	0; 4; 4; 4; 4	ANTI-ISLAM	5; 5; 5; 5; 3	DEROGATION AND DEHUMANIZATION	2; 2; 3; 2; 2
1356397316438024195	NOT ABUSIVE	0; 4; 0; 0; 0				
1381827505309372416	NOT ABUSIVE	0; 0; 0; 0; 0				
1402304688570224653	NOT ABUSIVE	0; 4; 0; 0; 0				
1342865908621078541	NOT ABUSIVE	0; 0; 0; 0; 0				
1357518329104134146	NOT ABUSIVE	0; 0; 0; 0; 0				
1380878988587884546	NOT ABUSIVE	0; 4; 0; 0; 4				
1338514794828226561	NOT ABUSIVE	0; 0; 0; 0; 0				
1427993450033467403	GROUP	0; 4; 4; 4; 0	ANTI-ISLAM	5; 5; 0; 5; 5	ANIMOSITY	3; 3; 3
1429959807004405760	GROUP	4; 4; 4; 1; 4	ANTI-CHRISTIANITY	4; 4; 1; 4; 4	DEROGATION AND DEHUMANIZATION	2; 2; 3; 3; 2
1425819590362230791	NOT ABUSIVE	0; 0; 4; 0; 4				
1431840921272860672	GROUP	0; 4; 4; 0; 4	ANTI-CHRISTIANITY	4; 4; 4; 4; 4	ANIMOSITY	3; 3; 2
1428783240442048517	NOT ABUSIVE	0; 0; 1; 0; 0				
1341527053263384577	NOT ABUSIVE	0; 0; 0; 0; 0				
1431856101067161601	NOT ABUSIVE	0; 0; 0; 0; 0				
1410327208036605957	NOT ABUSIVE	0; 0; 0; 0; 0				
1341172249655701504	NOT ABUSIVE	0; 0; 4; 0; 0				
1337879261487587330	NOT ABUSIVE	0; 0; 0; 0; 0				
1339035553518526467	NOT ABUSIVE	0; 0; 0; 0; 0				
1405524646795964420	NOT ABUSIVE	0; 0; 0; 0; 0				
1343801437902540800	NOT ABUSIVE	0; 0; 0; 0; 0				
1425100434281275392	NOT ABUSIVE	0; 0; 0; 0; 0				
1400968025310855168	NOT ABUSIVE	0; 0; 0; 2; 0				
1343631629927870464	NOT ABUSIVE	0; 0; 0; 0; 0				
1343075624030789632	NOT ABUSIVE	0; 0; 0; 0; 3				
1381855582899015684	NOT ABUSIVE	0; 0; 0; 0; 0				
1409416652622495747	NOT ABUSIVE	0; 0; 0; 0				
1424870770287722498	NOT ABUSIVE	0; 0; 0; 0				
1431884733944774658	NOT ABUSIVE	0; 0; 0; 0				
1381459250254319618	NOT ABUSIVE	0; 0; 0; 0				
1339341824637476868	NOT ABUSIVE	0; 0; 0; 4				
1401201374361051138	NOT ABUSIVE	0; 0; 0; 0				
1399813045946290187	NOT ABUSIVE	0; 0; 0; 0				
1422251884396621825	NOT ABUSIVE	0; 4; 0; 0				
1364261923307585538	NOT ABUSIVE	0; 0; 0; 0				
1360723171222188032	GROUP	3; 4; 4; 3; 4	ANTI-JUDAISM	6; 6; 0; 0; 6	ANIMOSITY	3; 3; 3; 2; 2
1358180749892067329	NOT ABUSIVE	0; 0; 0; 0; 4				
1429990266308546560	NOT ABUSIVE	0; 0; 0; 0; 0				
1382563065124724738	INDIVIDUAL	0; 4; 0; 3; 3				
1343622470398439424	NOT ABUSIVE	0; 0; 0; 0; 3				
1341946422598356992	NOT ABUSIVE	0; 0; 0; 0; 4				
1341590659279544320	NOT ABUSIVE	0; 0; 4; 0; 4				
1408095137842876417	GROUP	0; 0; 4; 4; 4	ANTI-ISLAM	5; 6; 5; 0; 5	DEROGATION AND DEHUMANIZATION; ANIMOSITY	2; 1; 3; 2; 3
1334028840834920448	GROUP	0; 0; 4; 3; 4	OTHERS	4; 4; 1; 1; 1		
1405136644135657474	GROUP	0; 4; 4; 4; 0	ANTI-ISLAM	5; 5; 5; 0; 5	ANIMOSITY	3; 3; 3
1423870607268007940	GROUP	4; 4; 4; 4; 4	ANTI-CHRISTIANITY	4; 4; 4; 4; 4	DEROGATION AND DEHUMANIZATION	2; 2; 2; 2; 2
1426387544644665346	NOT ABUSIVE	0; 0; 0; 0; 0				
1339728968778301440	GROUP	0; 4; 4; 4; 0	ANTI-CHRISTIANITY	4; 4; 4; 4; 4	ANIMOSITY	3; 3; 3; 3; 2
1431990725567123467	INDIVIDUAL	0; 3; 3; 4; 0				
1431951590492033033	NOT ABUSIVE	0; 0; 0; 0; 0				
1362746304397529089	NOT ABUSIVE	0; 0; 0; 4; 0				
1341495283939733510	NOT ABUSIVE	0; 0; 0; 0; 0				
1342882618895986693	NOT ABUSIVE	0; 0; 0; 0; 0				
1425983204243251201	NOT ABUSIVE	0; 0; 0				
1422340284810240006	NOT ABUSIVE	0; 0; 0				
1344099040347246595	NOT ABUSIVE	0; 0; 0				
1381312231716003841	NOT ABUSIVE	0; 0; 0				
1360979170239475715	NOT ABUSIVE	0; 0; 0				
1427654525062635524	NOT ABUSIVE	0; 0; 0				
1430137902328164352	NOT ABUSIVE	0; 0; 0				
1427571389679095816	NOT ABUSIVE	0; 0; 1				
1423773664730783745	NOT ABUSIVE	0; 0; 0				
1425515934983331847	NOT ABUSIVE	0; 0; 2; 0; 2				
1342190111933554689	NOT ABUSIVE	0; 0; 4; 0; 0				
